  01  01  80  09  1C  B7
  01  00  00  00  AD  64
  01  00  CA  E5  00  03
  01  00  34  A2  19  2E
  01  00  00  34  95  27
  01  00  00  29  95  27
  01  00  00  57  95  27
  01  00  00  14  95  27
  01  01  90  09  3C  F5
  01  00  00  00  09  07
  01  00  00  00  03  80
  01  00  00  01  02  03
  01  00  04  05  06  07
  01  00  08  09  0A  0B
  01  00  00  00  14  0B
  01  00  00  00  17  02
  01  00  00  00  06  80
  01  00  00  01  02  03
  01  00  04  05  06  07
  01  00  08  09  0A  0B
  01  00  0C  0D  0E  0F
  01  00  10  11  12  13
  01  00  14  15  16  17
  01  00  00  00  64  03
  01  01  A0  09  24  5C
  01  00  00  01  02  03
  01  00  04  05  06  07
  01  00  08  09  0A  0B
  01  00  0C  0D  0E  0F
  01  00  10  11  12  13
  01  00  14  15  16  17
  01  00  18  19  1A  1B
  01  00  1C  1D  1E  1F
  01  00  20  21  22  23
